형태소,품사,문어_횟수,문어_비율,문어_파일,문어_의미,구어_횟수,구어_의미,구어_파일,구어_의미,전체_횟수,전체_비율,전체_파일,전체_의미
춥,VA,"1,162",0.00%,237,0,84,0.01%,32,0,"1,246",0.00%,269,0
놀랍,VA,"1,204",0.00%,307,0,16,0.00%,11,0,"1,220",0.00%,318,0
곱,VA,"1,184",0.00%,266,3,14,0.00%,10,0,"1,198",0.00%,276,3
짙,VA,"1,152",0.00%,296,0,14,0.00%,8,0,"1,166",0.00%,304,0
뛰어나,VA,"1,138",0.00%,288,0,25,0.00%,13,0,"1,163",0.00%,301,0
낡,VA,"1,148",0.00%,285,0,4,0.00%,3,0,"1,152",0.00%,288,0
드물,VA,"1,105",0.00%,318,0,20,0.00%,14,0,"1,125",0.00%,332,0
거칠,VA,"1,082",0.00%,265,0,32,0.00%,8,0,"1,114",0.00%,273,0
안타깝,VA,"1,068",0.00%,306,0,30,0.00%,23,0,"1,098",0.00%,329,0
부끄럽,VA,"1,080",0.00%,267,0,6,0.00%,5,0,"1,086",0.00%,272,0
기쁘,VA,"1,044",0.00%,257,0,42,0.00%,21,0,"1,086",0.00%,278,0
바르,VA,992,0.00%,262,2,21,0.00%,14,0,"1,013",0.00%,276,2
두렵,VA,965,0.00%,258,0,39,0.00%,15,0,"1,004",0.00%,273,0
반갑,VA,975,0.00%,245,0,27,0.00%,16,0,"1,002",0.00%,261,0
맛있,VA,778,0.00%,184,0,210,0.01%,48,0,988,0.00%,232,0
흔하,VA,956,0.00%,250,0,21,0.00%,15,0,977,0.00%,265,0
착하,VA,927,0.00%,196,0,39,0.00%,22,0,966,0.00%,218,0
차갑,VA,947,0.00%,209,0,13,0.00%,9,0,960,0.00%,218,0
싸,VA,832,0.00%,249,2,115,0.01%,40,0,947,0.00%,289,2
조그맣,VA,934,0.00%,231,0,7,0.00%,5,0,941,0.00%,236,0
외롭,VA,912,0.00%,233,0,23,0.00%,14,0,935,0.00%,247,0
올바르,VA,902,0.00%,234,0,23,0.00%,13,0,925,0.00%,247,0
빨갛,VA,856,0.00%,213,0,68,0.00%,37,0,924,0.00%,250,0
멋지,VA,836,0.00%,220,0,46,0.00%,21,0,882,0.00%,241,0
날카롭,VA,842,0.00%,248,0,17,0.00%,6,0,859,0.00%,254,0
급하,VA,812,0.00%,267,0,45,0.00%,26,0,857,0.00%,293,0
친하,VA,603,0.00%,195,0,237,0.01%,63,0,840,0.00%,258,0
저렇,VA,819,0.00%,201,0,11,0.00%,11,0,830,0.00%,212,0
굵,VA,804,0.00%,220,0,12,0.00%,8,0,816,0.00%,228,0
굳,VA,809,0.00%,263,0,6,0.00%,3,0,815,0.00%,266,0
이르,VA,800,0.00%,265,0,11,0.00%,9,0,811,0.00%,274,0
아쉽,VA,737,0.00%,252,0,46,0.00%,29,0,783,0.00%,281,0
느리,VA,707,0.00%,194,0,35,0.00%,20,0,742,0.00%,214,0
환하,VA,730,0.00%,183,0,3,0.00%,3,0,733,0.00%,186,0
더럽,VA,719,0.00%,205,0,11,0.00%,10,0,730,0.00%,215,0
그립,VA,697,0.00%,187,0,9,0.00%,4,0,706,0.00%,191,0
뒤늦,VA,697,0.00%,254,0,6,0.00%,4,0,703,0.00%,258,0
괴롭,VA,672,0.00%,207,0,27,0.00%,18,0,699,0.00%,225,0
덥,VA,606,0.00%,197,0,66,0.00%,35,0,672,0.00%,232,0
귀엽,VA,623,0.00%,182,0,44,0.00%,19,0,667,0.00%,201,0
아무렇,VA,651,0.00%,197,0,10,0.00%,10,0,661,0.00%,207,0
우습,VA,646,0.00%,221,0,15,0.00%,12,0,661,0.00%,233,0
가늘,VA,653,0.00%,164,0,3,0.00%,2,0,656,0.00%,166,0
알맞,VA,651,0.00%,198,0,4,0.00%,4,0,655,0.00%,202,0
어리석,VA,642,0.00%,217,0,5,0.00%,3,0,647,0.00%,220,0
귀하,VA,632,0.00%,196,0,10,0.00%,5,0,642,0.00%,201,0
둥글,VA,634,0.00%,176,0,5,0.00%,2,0,639,0.00%,178,0
부럽,VA,573,0.00%,198,0,62,0.00%,28,0,635,0.00%,226,0
노랗,VA,603,0.00%,180,0,22,0.00%,12,0,625,0.00%,192,0
귀찮,VA,558,0.00%,198,0,66,0.00%,40,0,624,0.00%,238,0
재밌,VA,74,0.00%,32,0,549,0.03%,99,0,623,0.00%,131,0
별다르,VA,610,0.00%,255,0,3,0.00%,3,0,613,0.00%,258,0
세,VA,590,0.00%,213,1,17,0.00%,9,0,607,0.00%,222,1
까맣,VA,566,0.00%,180,0,25,0.00%,16,0,591,0.00%,196,0
그러하,VA,580,0.00%,35,0,0,0.00%,0,0,580,0.00%,35,0
두껍,VA,533,0.00%,197,0,42,0.00%,25,0,575,0.00%,222,0
어지럽,VA,560,0.00%,200,0,10,0.00%,6,0,570,0.00%,206,0
거세,VA,551,0.00%,222,0,1,0.00%,1,0,552,0.00%,223,0
다름없,VA,548,0.00%,207,0,0,0.00%,0,0,548,0.00%,207,0
차,VA,509,0.00%,170,2,24,0.00%,12,0,533,0.00%,182,2
흐리,VA,522,0.00%,200,2,9,0.00%,4,0,531,0.00%,204,2
파랗,VA,512,0.00%,173,0,19,0.00%,10,0,531,0.00%,183,0
밉,VA,501,0.00%,178,0,26,0.00%,17,0,527,0.00%,195,0
아깝,VA,476,0.00%,186,0,48,0.00%,33,0,524,0.00%,219,0
시끄럽,VA,485,0.00%,183,0,37,0.00%,21,0,522,0.00%,204,0
눈부시,VA,509,0.00%,210,0,0,0.00%,0,0,509,0.00%,210,0
잦,VA,468,0.00%,211,0,3,0.00%,3,0,471,0.00%,214,0
얇,VA,457,0.00%,150,0,14,0.00%,9,0,471,0.00%,159,0
못지않,VA,455,0.00%,174,0,2,0.00%,2,0,457,0.00%,176,0
진하,VA,435,0.00%,171,0,18,0.00%,14,0,453,0.00%,185,0
힘겹,VA,441,0.00%,179,0,2,0.00%,2,0,443,0.00%,181,0
손쉽,VA,437,0.00%,192,0,2,0.00%,2,0,439,0.00%,194,0
점잖,VA,424,0.00%,151,0,8,0.00%,2,0,432,0.00%,153,0
고프,VA,404,0.00%,134,0,27,0.00%,18,0,431,0.00%,152,0
까다롭,VA,406,0.00%,197,0,13,0.00%,10,0,419,0.00%,207,0
힘차,VA,410,0.00%,178,0,1,0.00%,1,0,411,0.00%,179,0
폭넓,VA,405,0.00%,178,0,4,0.00%,4,0,409,0.00%,182,0
숱하,VA,394,0.00%,185,0,4,0.00%,3,0,398,0.00%,188,0
가쁘,VA,398,0.00%,154,0,0,0.00%,0,0,398,0.00%,154,0
상관없,VA,326,0.00%,136,0,71,0.00%,45,0,397,0.00%,181,0
걸맞,VA,391,0.00%,204,0,6,0.00%,4,0,397,0.00%,208,0
못하,VA,389,0.00%,134,0,0,0.00%,0,0,389,0.00%,134,0
잘나,VA,360,0.00%,130,0,26,0.00%,15,0,386,0.00%,145,0
사납,VA,381,0.00%,148,0,3,0.00%,2,0,384,0.00%,150,0
두드러지,VA,377,0.00%,155,0,2,0.00%,2,0,379,0.00%,157,0
끈질기,VA,374,0.00%,184,0,0,0.00%,0,0,374,0.00%,184,0
달,VA,332,0.00%,117,2,20,0.00%,9,0,352,0.00%,126,2
험하,VA,342,0.00%,162,0,3,0.00%,3,0,345,0.00%,165,0
이쁘,VA,147,0.00%,64,0,193,0.01%,54,0,340,0.00%,118,0
누렇,VA,330,0.00%,137,0,1,0.00%,1,0,331,0.00%,138,0
시커멓,VA,312,0.00%,118,0,15,0.00%,10,0,327,0.00%,128,0
오래,VA,320,0.00%,156,0,0,0.00%,0,0,320,0.00%,156,0
낯익,VA,316,0.00%,126,0,1,0.00%,1,0,317,0.00%,127,0
배고프,VA,274,0.00%,127,0,43,0.00%,18,0,317,0.00%,145,0
끊임없,VA,314,0.00%,146,0,1,0.00%,1,0,315,0.00%,147,0
갑작스럽,VA,310,0.00%,109,0,0,0.00%,0,0,310,0.00%,109,0
남다르,VA,308,0.00%,158,0,1,0.00%,1,0,309,0.00%,159,0
지겹,VA,273,0.00%,119,0,29,0.00%,22,0,302,0.00%,141,0
비,VA,298,0.00%,87,0,0,0.00%,0,0,298,0.00%,87,0
