date,title,link,content
2023-07-31 10:51:01,‘유튜브 퀸’ 블랙핑크 ‘뚜두뚜두’ 뮤비 21억뷰 돌파…K팝 그룹 최초·최고,https://n.news.naver.com/mnews/article/081/0003381272?sid=103,"[




블랙핑크                                                                                           YG엔터테인먼트 제공걸그룹 블랙핑크의 히트곡 ‘뚜두뚜두’ 뮤직비디오 유튜브 조회수가 K팝 아이돌 그룹 처음으로 21억뷰를 돌파했다고 소속사 YG엔터테인먼트가 31일 밝혔다.그동안 3~6개월마다 억대 뷰 앞자리 숫자를 갈아치운 ‘뚜두뚜두’ 뮤직비디오는 전날 오후 21억회 조회수를 넘기면서 2018년 6월 15일 공개된 지 약 5년 1개월 만에 K팝 뮤직비디오로는 최초, 최고, 최다 조회수를 기록했다.블랙핑크의 첫 미니 앨범 ‘스퀘어 업’ 타이틀곡인 ‘뚜두뚜두’는 중독성 강한 후렴구와 권총을 쏘는 듯한 포인트 안무로 2018년 전 세계에서 가장 많이 본 K팝 뮤직비디오 1위에 올랐다.국내 음원 차트 정상을 모두 휩쓴 노래는 미국 ‘빌보드200’과 메인 싱클차트 ‘핫100’에서 각각 40위, 55위에 올랐다. 세계 최대 음원 플랫폼 스포티파이에서도 6억회 이상의 스트리밍을 기록 중이다.블랙핑크의 공식 유튜브 채널 구독자 수는 9030만명으로 독보적인 ‘유튜브 퀸’이 됐다. 현재까지 1억뷰 이상 영상만 43편에 달하고, 콘텐츠 누적 조회수는 324억회 이상이다.
		]"
2023.07.31. 오전 6:54,"
			블랙핑크 로제 '부끄부끄'[★포토]
		",https://n.news.naver.com/mnews/article/108/0003171096?sid=106,"[
				
				
				[스타뉴스 | 임성균 기자]  
블랙핑크 로제 '부끄부끄'[★포토]그룹 블랙핑크 로제가 베트남 하노이 콘서트를 마치고 31일 오전 서울 김포비지니스센터를 통해 입국하고 있다. 2023.07.31
]"
2023.07.31. 오전 9:46,"
			블랙핑크, 1표차로 엑소 이겼다…‘K탑스타’ 그룹 최애 스타 1위
		",https://n.news.naver.com/mnews/article/410/0000952210?sid=106,"[
그룹 블랙핑크가 ‘K탑스타’ 그룹 최애 스타에서 1위에 오르며 정상을 달리고 있다.K-POP의 현 상황을 알려주는 스타랭킹 투표 사이트 ‘K탑스타’(KTOPSTAR)에 따르면 24일부터 31일까지 집계된 그룹 최애 스타에서 득표율 24%를 기록한 그룹 블랙핑크가 둘째 주 1위에 안착 중이다.이어 블랙핑크와 같은 득표율을 나타낸 엑소가 1표차로 아쉽게 2위를 차지했다. 3위에는 방탄소년단(20%), 4위 르세라핌(14%), 5위 뉴진스(5%)가 이름을 올리고 있다. 
 그룹 블랙핑크가 ‘K탑스타’ 그룹 최애 스타에서 1위에 오르며 정상을 달리고 있다. 사진=천정환 기자6위부터 10위까지는 아이브, 오마이걸, 스트레이키즈, 에스파, NCT 순으로 존재감을 과시하고 있다.New스타 최애 스타 부문에서는 1위에 오른 그룹 판타지보이즈가 40%의 득표율을 보이며 뜨거운 관심을 입증하고 있다.2위에는 득표율 30%를 차지한 제로베이스원이 1위를 뒤쫓고 있다. 뒤이어 미미로즈, 보이넥스트도어, 더윈드, &amp;TEAM, 싸이커스, 루네이트, 키스오브라이프, 김소연 등이 3위부터 10위까지 이름을 올렸다.솔로 최애 스타 부문에선 가수 윤하가 66%의 압도적인 득표율을 자랑하며 1위 자리를 고수 중이다. 그 뒤로는 블랙핑크 로제, 지수, 제니, 리사 순으로 나란히 5위까지 안착했으며 아이유, 이효리, 강다니엘, 정국, 태연, 나연이 10위 들었다, 
 그룹 판타지보이즈, 윤하가 K탑스타에서 각각 New스타 최애 스타, 솔로 최애 스타 1위를 차지했다. 사진=김영구 기자, 천정환 기자‘K탑스타’는 현재 솔로, 그룹, 트로트, New스타 등 4개의 분야로 나눠 ‘최애 스타’ 인기투표를 진행 중이다.‘K탑스타’ 사이트에는 브랜드평판에 따른 총 100팀이 리스트에 올라와 있다. ‘K탑스타’를 통해 오픈된 인기 투표는 4주간 진행되며, 이번 투표는 7월 17일부터 8월 14일까지다.홈페이지에 공개된 다양한 방법으로 ‘별’이라는 투표권을 부여받아 자신의 ‘최애 스타’에 투표하는 방식이다.랭킹 1~3위로 선정되는 가수에게는 강남권 옥외 광고를 비롯해 지하철 전광판, 그리고 각 광역시, 도의 이마트와 홈플러스 등 대형마트에 축하광고가 게시되는 특전이 주어진다.
]"
2023.07.31. 오전 7:04,"
			블랙핑크 지수 ‘모두들 안~녕~!’[포토엔HD]
		",https://n.news.naver.com/mnews/article/609/0000754018?sid=106,"[
 
[김포공항=뉴스엔 지수진 기자] 블랙핑크(BLACKPINK) 멤버 제니(JENNIE), 지수(JISOO), 로제(ROSÉ), 리사(LISA)가 7월 31일 오전 서울 강서구 방화동 서울김포비지니스(SGBAC) 항공센터를 통해 BLACKPINK WORLD TOUR [BORN PINK] 일정을 마치고 베트남 하노이에서 입국하고 있다.
]"
2023.07.31. 오전 10:22,"
			블랙핑크 로제, 빤히…자꾸 보게 하는 매력 [스타★샷]
		",https://n.news.naver.com/mnews/article/396/0000651176?sid=106,"[
				
				
				블랙핑크 로제가 시선을 끄는 미모를 자랑했다.      
   사진=로제 인스타그램    31일 로제는 자신의 SNS에 이모티콘과 함께 여러 장의 사진을 공개했다. 사진 속 로제는 분홍색 케이스를 끼운 핸드폰으로 열심히 거울 셀카를 찍는데 열중하고 있다. 한껏 클로즈업한 로제의 모습이 시선을 사로잡는다.      
   사진=로제 인스타그램     
   사진=로제 인스타그램    국내외 누리꾼들은 “ 나는 당신이 안전한 비행을 했다는 소식을 듣고 싶어 지금까지 깨어있다.”“셀카 마스터”“너무 사랑해” 등의 댓글을 통해 아낌없는 애정을 전했다.     한편, 로제가 소속된 그룹 블랙핑크는 최근 스타벅스와 콜라보 굿즈를 발표, 기록적인 속도로 매진 및 완판 열풍을 이끌었다.           정다연 온라인 기자
]"
2023.07.31. 오전 8:49,"
			블랙핑크 로제, '베트남 전통모자'도 핑크…'러블리의 인간화'
		",https://n.news.naver.com/mnews/article/076/0004038419?sid=106,"[
 
[스포츠조선닷컴 김수현기자] 블랙핑크 로제가 베트남에서 한국으로 무사히 돌아왔다. 31일 로제는 ""Hanoiii""라며 베트남 하노이에 방문했던 기념사진을 찍었다. 로제는 베트남 현지에서 공수한 전통모자를 머리에 쓰고 다양한 포즈로 귀여운 매력을 발산했다.  
로제는 이날 오전 베트남 하노이 콘서트를 마치고 한국으로 입국했다. 28일 출국해 31일 다시 한국으로 돌아오는 다소 바쁜 일정이지만 로제는 팬들을 위해 핑크색 전통모자로 인사해 훈훈함을 자아냈다. 한편 블랙핑크는 오는 29일과 30일 양일간 베트남 하노이에서 '본 핑크' 월드투어 공연을 앞두고 있다.
]"
2023.07.31. 오전 6:56,"
			블랙핑크 지수 '정겨운 인사'[★포토]
		",https://n.news.naver.com/mnews/article/108/0003171098?sid=106,"[
				
				
				[스타뉴스 | 임성균 기자]  
블랙핑크 지수 '정겨운 인사'[★포토]그룹 블랙핑크 지수가 베트남 하노이 콘서트를 마치고 31일 오전 서울 김포비지니스센터를 통해 입국하고 있다. 2023.07.31
]"
2023.07.31. 오전 6:59,"
			블랙핑크 로제 '7주년 벌칙은 내가!'[★영상]
		",https://n.news.naver.com/mnews/article/108/0003171100?sid=106,"[
				
				
				[스타뉴스 | 임성균 기자]  
블랙핑크 로제 '7주년 벌칙은 내가!'[★영상]그룹 블랙핑크 지수, 제니, 로제가 베트남 하노이 콘서트를 마치고 31일 오전 서울 김포비지니스센터를 통해 입국하고 있다. 2023.07.31
]"
2023-07-28 13:49:20,블랙핑크 베트남 공연 또 논란…'구단선' 이어 '저작권료 미지급',https://n.news.naver.com/mnews/article/057/0001759231?sid=104,"[
현지 음악저작권보호센터, 공연허가 취소 요청…""주최사, 저작권료 안내""



블랙핑크/사진=연합뉴스 K팝 걸그룹 블랙핑크의 베트남 공연을 앞두고 좀처럼 논란이 끊이지 않고 있습니다.오늘(28일) 현지 매체 VN익스프레스에 따르면 베트남 음악저작권보호센터(VCPMC)는 오는 29일과 30일 하노이 미딩 국립경기장에서 열릴 예정인 블랙핑크 월드투어 공연 허가를 취소해달라고 하노이 인민위원회에 요청했습니다.VCPMC 측은 투어 주최사인 IME가 공연 저작권료를 지급하지 않았다고 설명했습니다.하노이 인민위원회 산하 문화체육국은 해당 사안을 조사 중입니다.VCPMC는 베트남에서 한국음악저작권협회(KOMCA)의 권리를 대행하는 유일한 단체입니다.따라서 이번 공연 개최 전에 주최사인 IME는 블랙핑크가 부를 노래에 대한 저작권료를 지불했어야 한다는 게 VCPMC의 입장입니다.반면 IME는 다른 국가와 달리 베트남 공연의 경우 블랙핑크 소속사인 YG엔터테인먼트에 권리가 있다면서 저작권료 지급을 거부했다고 VCPMC는 전했습니다.이와 관련, KOMCA측은 ""VCPMC의 요청에 따라 관련 서류를 보내줬다""면서 ""국내외 공연 기획사를 상대로 저작권료 사전 정산 원칙을 주지시키고 있다""고 말했습니다.하지만 해당 업계에 따르면 종종 사후 정산하는 경우도 있는 것으로 알려졌습니다.앞서 IME의 웹사이트에 중국의 영유권 주장이 반영된 남중국해 지도가 있다는 지적이 소셜미디어(SNS) 등을 중심으로 제기돼 물의를 빚은 바 있습니다.이에 베트남 문화체육관광부는 IME 웹사이트에 대해 조사에 나섰고, 이 회사는 문제의 지도 이미지를 삭제하고 사과하는 등 진화에 나섰습니다.결국 하노이 인민위원회는 지난 24일 이 같은 논란에도 불구하고 블랙핑크 월드투어 공연을 허가했습니다.한편 일각에서는 주최사의 저작권료 미지불 때문에 공연이 취소되는 게 아니냐는 우려도 나옵니다.하지만 수만장에 달하는 티켓이 팔린 상황에서 공연이 취소될 가능성은 크지 않다고 보는 관측이 지배적입니다.당국은 이틀간 공연 관객이 각각 3만6천명, 3만1천명에 달할 것으로 예상하고 안전 대책을 마련 중입니다.
]"
2023.07.31. 오전 6:45,"
			블랙핑크 제니 ‘선글라스 속 새침함이 빼꼼’[포토엔HD]
		",https://n.news.naver.com/mnews/article/609/0000754013?sid=106,"[
 
[김포공항=뉴스엔 지수진 기자] 블랙핑크(BLACKPINK) 멤버 제니(JENNIE), 지수(JISOO), 로제(ROSÉ), 리사(LISA)가 7월 31일 오전 서울 강서구 방화동 서울김포비지니스(SGBAC) 항공센터를 통해 BLACKPINK WORLD TOUR [BORN PINK] 일정을 마치고 베트남 하노이에서 입국하고 있다.
]"
